,match_id_x,year_x,slam_x,match_num_x,player1,player2,logit_elo_538_prob,logit_elo_prob,logit_elo_diff_prob,logit_elo_diff_538_prob,match_prob_kls,match_prob_kls_JS,match_prob_sf_kls,match_prob_sf_kls_JS,match_prob_adj_kls,match_prob_adj_kls_JS,elo_prob,elo_prob_538,sf_elo_prob,sf_elo_prob_538
0,2018-wimbledon-1101,2018,Wimbledon,1101,Roger Federer,Dusan Lajovic,,,,,,,,,,,,,,
1,2018-wimbledon-1102,2018,Wimbledon,1102,Lukas Lacko,Benjamin Bonzi,,,,,,,,,,,,,,
2,2018-wimbledon-1103,2018,Wimbledon,1103,Ivo Karlovic,Mikhail Youzhny,,,,,,,,,,,,,,
3,2018-wimbledon-1104,2018,Wimbledon,1104,Jan Lennard,Leonardo Mayer,,,,,,,,,,,,,,
4,2018-wimbledon-1105,2018,Wimbledon,1105,Adrian Mannarino,Christian Garin,,,,,,,,,,,,,,
5,2018-wimbledon-1106,2018,Wimbledon,1106,Ryan Harrison,Roberto Carballes,,,,,,,,,,,,,,
6,2018-wimbledon-1107,2018,Wimbledon,1107,Guillermo Garcia,Gastao Elias,,,,,,,,,,,,,,
7,2018-wimbledon-1108,2018,Wimbledon,1108,Daniil Medvedev,Borna Coric,,,,,,,,,,,,,,
8,2018-wimbledon-1109,2018,Wimbledon,1109,Sam Querrey,Jordan Thompson,,,,,,,,,,,,,,
9,2018-wimbledon-1110,2018,Wimbledon,1110,Sergiy Stakhovsky,Joao Sousa,,,,,,,,,,,,,,
10,2018-wimbledon-1111,2018,Wimbledon,1111,Laslo Djere,Paolo Lorenzi,,,,,,,,,,,,,,
11,2018-wimbledon-1112,2018,Wimbledon,1112,Gael Monfils,Richard Gasquet,,,,,,,,,,,,,,
12,2018-wimbledon-1113,2018,Wimbledon,1113,Philipp Kohlschreiber,Evgeny Donskoy,,,,,,,,,,,,,,
13,2018-wimbledon-1114,2018,Wimbledon,1114,Gilles Muller,Michael Mmoh,,,,,,,,,,,,,,
14,2018-wimbledon-1115,2018,Wimbledon,1115,John Patrick,Andreas Seppi,,,,,,,,,,,,,,
15,2018-wimbledon-1116,2018,Wimbledon,1116,Norbert Gombos,Kevin Anderson,,,,,,,,,,,,,,
16,2018-wimbledon-1117,2018,Wimbledon,1117,Marin Cilic,Yoshihito Nishioka,,,,,,,,,,,,,,
17,2018-wimbledon-1118,2018,Wimbledon,1118,Jason Kubler,Guido Pella,,,,,,,,,,,,,,
18,2018-wimbledon-1119,2018,Wimbledon,1119,Ricardas Berankis,Mackenzie McDonald,,,,,,,,,,,,,,
19,2018-wimbledon-1120,2018,Wimbledon,1120,Nicolas Jarry,Filip Krajinovic,,,,,,,,,,,,,,
20,2018-wimbledon-1121,2018,Wimbledon,1121,Lucas Pouille,Denis Kudla,,,,,,,,,,,,,,
21,2018-wimbledon-1122,2018,Wimbledon,1122,Peter Polansky,Dennis Novak,,,,,,,,,,,,,,
22,2018-wimbledon-1123,2018,Wimbledon,1123,John Millman,Stefano Travaglia,,,,,,,,,,,,,,
23,2018-wimbledon-1124,2018,Wimbledon,1124,Liam Broady,Milos Raonic,,,,,,,,,,,,,,
24,2018-wimbledon-1125,2018,Wimbledon,1125,John Isner,Yannick Maden,,,,,,,,,,,,,,
25,2018-wimbledon-1126,2018,Wimbledon,1126,Steve Johnson,Ruben Bemelmans,,,,,,,,,,,,,,
26,2018-wimbledon-1127,2018,Wimbledon,1127,Aljaz Bedene,Cameron Norrie,,,,,,,,,,,,,,
27,2018-wimbledon-1128,2018,Wimbledon,1128,Radu Albot,Pablo Carreno,,,,,,,,,,,,,,
28,2018-wimbledon-1129,2018,Wimbledon,1129,Stefanos Tsitsipas,Gregoire Barrere,,,,,,,,,,,,,,
29,2018-wimbledon-1130,2018,Wimbledon,1130,Malek Jaziri,Jared Donaldson,,,,,,,,,,,,,,
30,2018-wimbledon-1131,2018,Wimbledon,1131,Yuki Bhambri,Thomas Fabbiano,,,,,,,,,,,,,,
31,2018-wimbledon-1132,2018,Wimbledon,1132,Stan Wawrinka,Grigor Dimitrov,,,,,,,,,,,,,,
32,2018-wimbledon-1133,2018,Wimbledon,1133,Dominic Thiem,Marcos Baghdatis,,,,,,,,,,,,,,
33,2018-wimbledon-1134,2018,Wimbledon,1134,David Ferrer,Karen Khachanov,,,,,,,,,,,,,,
34,2018-wimbledon-1135,2018,Wimbledon,1135,Julien Benneteau,Marton Fucsovics,,,,,,,,,,,,,,
35,2018-wimbledon-1136,2018,Wimbledon,1136,Frances Tiafoe,Fernando Verdasco,,,,,,,,,,,,,,
36,2018-wimbledon-1137,2018,Wimbledon,1137,Kyle Edmund,Alex Bolt,,,,,,,,,,,,,,
37,2018-wimbledon-1138,2018,Wimbledon,1138,Yuichi Sugita,Bradley Klahn,,,,,,,,,,,,,,
38,2018-wimbledon-1139,2018,Wimbledon,1139,Guido Andreozzi,Horacio Zeballos,,,,,,,,,,,,,,
39,2018-wimbledon-1140,2018,Wimbledon,1140,Tennys Sandgren,Novak Djokovic,,,,,,,,,,,,,,
40,2018-wimbledon-1141,2018,Wimbledon,1141,Nick Kyrgios,Denis Istomin,,,,,,,,,,,,,,
41,2018-wimbledon-1142,2018,Wimbledon,1142,Marius Copil,Robin Haase,,,,,,,,,,,,,,
