,match_id_x,year_x,slam_x,match_num_x,player1,player2,logit_elo_538_prob,logit_elo_prob,logit_elo_diff_prob,logit_elo_diff_538_prob,match_prob_kls,match_prob_kls_JS,match_prob_sf_kls,match_prob_sf_kls_JS,match_prob_adj_kls,match_prob_adj_kls_JS,elo_prob,elo_prob_538,sf_elo_prob,sf_elo_prob_538
0,2017-usopen-1101,2017,US Open,1101,Rafael Nadal,Dusan Lajovic,,,,,,,,,,,,,,
1,2017-usopen-1103,2017,US Open,1103,Yuichi Sugita,Geoffrey Blancaneaux,,,,,,,,,,,,,,
2,2017-usopen-1104,2017,US Open,1104,Leonardo Mayer,Richard Gasquet,,,,,,,,,,,,,,
3,2017-usopen-1108,2017,US Open,1108,Ryan Harrison,Tomas Berdych,,,,,,,,,,,,,,
4,2017-usopen-1109,2017,US Open,1109,David Goffin,Julien Benneteau,,,,,,,,,,,,,,
5,2017-usopen-1112,2017,US Open,1112,Jeremy Chardy,Gael Monfils,,,,,,,,,,,,,,
6,2017-usopen-1116,2017,US Open,1116,Vaclav Safranek,Grigor Dimitrov,,,,,,,,,,,,,,
7,2017-usopen-1117,2017,US Open,1117,Roger Federer,Frances Tiafoe,,,,,,,,,,,,,,
8,2017-usopen-1120,2017,US Open,1120,Andrey Kuznetsov,Feliciano Lopez,,,,,,,,,,,,,,
9,2017-usopen-1124,2017,US Open,1124,John Millman,Nick Kyrgios,,,,,,,,,,,,,,
10,2017-usopen-1128,2017,US Open,1128,Henri Laaksonen,Juan Martin,,,,,,,,,,,,,,
11,2017-usopen-1131,2017,US Open,1131,Marcos Baghdatis,Taylor Fritz,,,,,,,,,,,,,,
12,2017-usopen-1132,2017,US Open,1132,Alex de,Dominic Thiem,,,,,,,,,,,,,,
13,2017-usopen-1133,2017,US Open,1133,Sam Querrey,Gilles Simon,,,,,,,,,,,,,,
14,2017-usopen-1136,2017,US Open,1136,Yen Hsun,Karen Khachanov,,,,,,,,,,,,,,
15,2017-usopen-1139,2017,US Open,1139,Horacio Zeballos,Hyeon Chung,,,,,,,,,,,,,,
16,2017-usopen-1140,2017,US Open,1140,Pierre Hugues,John Isner,,,,,,,,,,,,,,
