,match_id_x,year_x,slam_x,match_num_x,player1,player2,logit_elo_538_prob,logit_elo_prob,logit_elo_diff_prob,logit_elo_diff_538_prob,match_prob_kls,match_prob_kls_JS,match_prob_sf_kls,match_prob_sf_kls_JS,match_prob_adj_kls,match_prob_adj_kls_JS,elo_prob,elo_prob_538,sf_elo_prob,sf_elo_prob_538
0,2013-ausopen-1101,2013,Australian Open,1101,Novak Djokovic,Paul Henri,0.9499149485827,0.96904549599,0.956228891246,0.9377179416882,0.9134451741635,0.9068896806435,0.9447001179268,0.9374648196092,0.9814878383952,0.9811328623432,0.9713873461648,0.9681648687006,0.971902919802,0.9711241215702
1,2013-ausopen-1102,2013,Australian Open,1102,Ryan Harrison,Santiago Giraldo,0.506480640221,0.49260313253700005,0.48192599046400003,0.48879995123899994,0.514112974702,0.513430010733,0.6122155081139999,0.5988626505210001,0.448379888257,0.44896199697800004,0.473746901262,0.476749845478,0.5069474865160001,0.528671450941
2,2013-ausopen-1105,2013,Australian Open,1105,Sam Querrey,Daniel Munoz,0.9050115164329999,0.885376557051,0.879804532685,0.894068245889,0.718543743202,0.709083148794,0.657983145449,0.653054362235,0.859678995435,0.857524764711,0.903550619621,0.9321010637430001,0.865632611656,0.9284374064669999
3,2013-ausopen-1109,2013,Australian Open,1109,Juan Monaco,Andrey Kuznetsov,0.9257321361679,0.890714423092,0.887214302073,0.9067424851037,0.731229252145,0.716498780793,0.791117817538,0.73654194166,0.8097948860390001,0.8084154225769999,0.9141231651499,0.9463529027566,0.869740751891,0.9567626560215
4,2013-ausopen-1110,2013,Australian Open,1110,Kevin Anderson,Paolo Lorenzi,0.8058755076530001,0.814871941988,0.7853265298790001,0.779436838374,0.78168995845,0.767316440466,0.771882258764,0.754501304132,0.879757137982,0.8776915053290001,0.809957685345,0.82274706707,0.825992124789,0.8510043950630001
5,2013-ausopen-1112,2013,Australian Open,1112,David Goffin,Fernando Verdasco,0.35864515435699995,0.32582875518199994,0.33760251071,0.365061673113,0.278357706115,0.2892885479449999,0.340057532507,0.35232742298100006,0.33010371013099993,0.33088285487400004,0.32249294223299996,0.342518928148,0.330386970309,0.34579880888299996
6,2013-ausopen-1116,2013,Australian Open,1116,Michael Russell,Tomas Berdych,0.134048921997,0.10371801973200001,0.121473563082,0.147232878259,0.23793015391800001,0.244217899884,0.123452535541,0.140117386973,0.08322144787010001,0.0841533938422,0.0936708544713,0.0975296049894,0.10394197071,0.101651593757
7,2013-ausopen-1117,2013,Australian Open,1117,David Ferrer,Olivier Rochus,0.929193454641,0.9583957031489999,0.9597524121500001,0.933719275549,0.9793892841740001,0.9733578925669999,0.95568580827,0.9427408702750001,0.987791149168,0.9873417310870001,0.9728376390539999,0.962941263603,0.9367237019850001,0.930923895906
8,2013-ausopen-1119,2013,Australian Open,1119,John Millman,Tatsuma Ito,0.49136285795900003,0.5119997292390001,0.48663901659500003,0.45213265726499996,0.752137578661,0.725446356384,0.780635054507,0.7425978386409999,0.906254849657,0.894813088582,0.479091888556,0.43131929048600004,0.5448697832289999,0.546631907981
9,2013-ausopen-1120,2013,Australian Open,1120,Albert Ramos,Marcos Baghdatis,0.19668377167,0.177886273823,0.223854968504,0.244299120112,0.35875092903899997,0.36376799361900003,0.256717996517,0.268232807619,0.321860138061,0.322923073803,0.19235349797,0.19096284138,0.14656534450099998,0.123772622209
10,2013-ausopen-1121,2013,Australian Open,1121,Mikhail Youzhny,Matthew Ebden,0.757603132562,0.749688546437,0.7396167167540001,0.7511478381319999,0.8516356347480001,0.837131152913,0.852423718714,0.8367499763449999,0.9271883240000001,0.925547248784,0.7617776525740001,0.7922797220129999,0.7370434763779999,0.775942403168
11,2013-ausopen-1124,2013,Australian Open,1124,Victor Hanescu,Kei Nishikori,0.112801014462,0.0914976748413,0.10211004670700001,0.12776647640900002,0.09612134864369999,0.11733393724999999,0.00893504345505,0.0457653768289,0.041781994285400005,0.043812588762600004,0.0764530580128,0.0809342063497,0.10019623385,0.0802263516053
12,2013-ausopen-1125,2013,Australian Open,1125,Nicolas Almagro,Steve Johnson,0.881031305642,0.877872185765,0.889736423913,0.895195976703,0.9039278742034,0.868509946047,0.855243546179,0.8229135944729999,0.9552262181084,0.9521669747872,0.9163651628187,0.9375462177216,0.828083590803,0.873014972075
13,2013-ausopen-1128,2013,Australian Open,1128,Simone Bolelli,Jerzy Janowicz,0.34996532933200003,0.41227508974,0.444328156253,0.38119816380500005,0.19166585129900002,0.216841759861,0.19969315795499998,0.23695131502900002,0.10527106172499999,0.109094916136,0.431215233166,0.345094882865,0.376126150789,0.290230251656
14,2013-ausopen-1132,2013,Australian Open,1132,Lleyton Hewitt,Janko Tipsarevic,0.304108249555,0.247540216505,0.253813418711,0.31349149006099997,0.206902215964,0.215462901296,0.15219853638800002,0.165831045228,0.190705634278,0.191224964269,0.22313789996999997,0.266284548467,0.26297955535,0.27424119682
15,2013-ausopen-1133,2013,Australian Open,1133,Juan Martin,Adrian Mannarino,0.9507334044419999,0.9625058353579999,0.957421830967,0.9455531046719999,0.9999893438070001,0.986876845523,0.999999977613,0.983137611565,0.9999999538519999,0.999998582226,0.971018995607,0.971199392976,0.9538700763240001,0.964028807116
16,2013-ausopen-1140,2013,Australian Open,1140,Marinko Matosevic,Marin Cilic,0.185212365727,0.170263224379,0.180530522742,0.187787371231,0.161871519415,0.17446955557500002,0.201519155504,0.214506119636,0.122392968824,0.12392763219799999,0.149222694098,0.134555786214,0.182660283601,0.164442081356
