,match_id_x,year_x,slam_x,match_num_x,player1,player2,logit_elo_538_prob,logit_elo_prob,logit_elo_diff_prob,logit_elo_diff_538_prob,match_prob_kls,match_prob_kls_JS,match_prob_sf_kls,match_prob_sf_kls_JS,match_prob_adj_kls,match_prob_adj_kls_JS,elo_prob,elo_prob_538,sf_elo_prob,sf_elo_prob_538
0,2019-usopen-1101,2019,US Open,1101,Novak Djokovic,Roberto Carballes,,,,,,,,,,,,,,
1,2019-usopen-1102,2019,US Open,1102,Sam Querrey,Juan Ignacio,,,,,,,,,,,,,,
2,2019-usopen-1103,2019,US Open,1103,Denis Kudla,Janko Tipsarevic,,,,,,,,,,,,,,
3,2019-usopen-1104,2019,US Open,1104,Steve Darcis,Dusan Lajovic,,,,,,,,,,,,,,
4,2019-usopen-1105,2019,US Open,1105,Stan Wawrinka,Jannik Sinner,,,,,,,,,,,,,,
5,2019-usopen-1106,2019,US Open,1106,Hubert Hurkacz,Jeremy Chardy,,,,,,,,,,,,,,
6,2019-usopen-1107,2019,US Open,1107,Laslo Djere,Miomir Kecmanovic,,,,,,,,,,,,,,
7,2019-usopen-1108,2019,US Open,1108,Zachary Svajda,Paolo Lorenzi,,,,,,,,,,,,,,
8,2019-usopen-1109,2019,US Open,1109,Fabio Fognini,Reilly Opelka,,,,,,,,,,,,,,
9,2019-usopen-1110,2019,US Open,1110,Dominik Koepfer,Jaume Munar,,,,,,,,,,,,,,
10,2019-usopen-1111,2019,US Open,1111,Tomas Berdych,Jenson Brooksby,,,,,,,,,,,,,,
11,2019-usopen-1112,2019,US Open,1112,Marton Fucsovics,Nikoloz Basilashvili,,,,,,,,,,,,,,
12,2019-usopen-1113,2019,US Open,1113,Taylor Fritz,Feliciano Lopez,,,,,,,,,,,,,,
13,2019-usopen-1114,2019,US Open,1114,Yoshihito Nishioka,Marcos Giron,,,,,,,,,,,,,,
14,2019-usopen-1115,2019,US Open,1115,Soonwoo Kwon,Hugo Dellien,,,,,,,,,,,,,,
15,2019-usopen-1116,2019,US Open,1116,Prajnesh Gunneswaran,Daniil Medvedev,,,,,,,,,,,,,,
16,2019-usopen-1117,2019,US Open,1117,Roger Federer,Sumit Nagal,,,,,,,,,,,,,,
17,2019-usopen-1118,2019,US Open,1118,Elliot Benchetrit,Damir Dzumhur,,,,,,,,,,,,,,
18,2019-usopen-1119,2019,US Open,1119,Adrian Mannarino,Daniel Evans,,,,,,,,,,,,,,
19,2019-usopen-1120,2019,US Open,1120,Philipp Kohlschreiber,Lucas Pouille,,,,,,,,,,,,,,
20,2019-usopen-1121,2019,US Open,1121,Guido Pella,Pablo Carreno,,,,,,,,,,,,,,
21,2019-usopen-1122,2019,US Open,1122,Ricardas Berankis,Jiri Vesely,,,,,,,,,,,,,,
22,2019-usopen-1123,2019,US Open,1123,Gregoire Barrere,Cameron Norrie,,,,,,,,,,,,,,
23,2019-usopen-1124,2019,US Open,1124,Corentin Moutet,David Goffin,,,,,,,,,,,,,,
24,2019-usopen-1125,2019,US Open,1125,Borna Coric,Evgeny Donskoy,,,,,,,,,,,,,,
25,2019-usopen-1126,2019,US Open,1126,Andreas Seppi,Grigor Dimitrov,,,,,,,,,,,,,,
26,2019-usopen-1127,2019,US Open,1127,Jack Sock,Pablo Cuevas,,,,,,,,,,,,,,
27,2019-usopen-1128,2019,US Open,1128,Nicolas Jarry,Kamil Majchrzak,,,,,,,,,,,,,,
28,2019-usopen-1129,2019,US Open,1129,Cristian Garin,Christopher Eubanks,,,,,,,,,,,,,,
29,2019-usopen-1130,2019,US Open,1130,Pierre Hugues,Alex de,,,,,,,,,,,,,,
30,2019-usopen-1131,2019,US Open,1131,Thiago Monteiro,Bradley Klahn,,,,,,,,,,,,,,
31,2019-usopen-1132,2019,US Open,1132,Marco Trungelliti,Kei Nishikori,,,,,,,,,,,,,,
32,2019-usopen-1133,2019,US Open,1133,Stefanos Tsitsipas,Andrey Rublev,,,,,,,,,,,,,,
33,2019-usopen-1134,2019,US Open,1134,Bjorn Fratangelo,Gilles Simon,,,,,,,,,,,,,,
34,2019-usopen-1135,2019,US Open,1135,Antoine Hoang,Leonardo Mayer,,,,,,,,,,,,,,
35,2019-usopen-1136,2019,US Open,1136,Steve Johnson,Nick Kyrgios,,,,,,,,,,,,,,
36,2019-usopen-1137,2019,US Open,1137,Matteo Berrettini,Richard Gasquet,,,,,,,,,,,,,,
37,2019-usopen-1138,2019,US Open,1138,Joao Sousa,Jordan Thompson,,,,,,,,,,,,,,
38,2019-usopen-1139,2019,US Open,1139,Alexei Popyrin,Federico Delbonis,,,,,,,,,,,,,,
39,2019-usopen-1140,2019,US Open,1140,Mikhail Kukushkin,Roberto Bautista,,,,,,,,,,,,,,
40,2019-usopen-1141,2019,US Open,1141,Gael Monfils,Albert Ramos,,,,,,,,,,,,,,
41,2019-usopen-1142,2019,US Open,1142,Ugo Humbert,Marius Copil,,,,,,,,,,,,,,
42,2019-usopen-1143,2019,US Open,1143,Henri Laaksonen,Marco Cecchinato,,,,,,,,,,,,,,
43,2019-usopen-1144,2019,US Open,1144,Denis Shapovalov,Felix Auger,,,,,,,,,,,,,,
44,2019-usopen-1145,2019,US Open,1145,Kyle Edmund,Pablo Andujar,,,,,,,,,,,,,,
45,2019-usopen-1146,2019,US Open,1146,Lorenzo Sonego,Marcel Granollers,,,,,,,,,,,,,,
46,2019-usopen-1147,2019,US Open,1147,Alexander Bublik,Santiago Giraldo,,,,,,,,,,,,,,
47,2019-usopen-1148,2019,US Open,1148,Thomas Fabbiano,Dominic Thiem,,,,,,,,,,,,,,
48,2019-usopen-1149,2019,US Open,1149,Alexander Zverev,Radu Albot,,,,,,,,,,,,,,
49,2019-usopen-1150,2019,US Open,1150,Ivo Karlovic,Frances Tiafoe,,,,,,,,,,,,,,
50,2019-usopen-1151,2019,US Open,1151,Jozef Kovalik,Aljaz Bedene,,,,,,,,,,,,,,
51,2019-usopen-1152,2019,US Open,1152,Brayden Schnur,Benoit Paire,,,,,,,,,,,,,,
52,2019-usopen-1153,2019,US Open,1153,Diego Schwartzman,Robin Haase,,,,,,,,,,,,,,
53,2019-usopen-1154,2019,US Open,1154,Lloyd Harris,Egor Gerasimov,,,,,,,,,,,,,,
54,2019-usopen-1155,2019,US Open,1155,Jo Wilfried,Tennys Sandgren,,,,,,,,,,,,,,
55,2019-usopen-1156,2019,US Open,1156,Vasek Pospisil,Karen Khachanov,,,,,,,,,,,,,,
56,2019-usopen-1157,2019,US Open,1157,John Isner,Guillermo Garcia,,,,,,,,,,,,,,
57,2019-usopen-1158,2019,US Open,1158,Jan Lennard,Casper Ruud,,,,,,,,,,,,,,
58,2019-usopen-1159,2019,US Open,1159,Filip Krajinovic,Cedrik Marcel,,,,,,,,,,,,,,
59,2019-usopen-1160,2019,US Open,1160,Martin Klizan,Marin Cilic,,,,,,,,,,,,,,
60,2019-usopen-1161,2019,US Open,1161,Fernando Verdasco,Tobias Kamke,,,,,,,,,,,,,,
61,2019-usopen-1162,2019,US Open,1162,Hyeon Chung,Ernesto Escobedo,,,,,,,,,,,,,,
62,2019-usopen-1163,2019,US Open,1163,Thanasi Kokkinakis,Ilya Ivashka,,,,,,,,,,,,,,
63,2019-usopen-1164,2019,US Open,1164,John Millman,Rafael Nadal,,,,,,,,,,,,,,
64,2019-usopen-1201,2019,US Open,1201,Novak Djokovic,Juan Ignacio,,,,,,,,,,,,,,
65,2019-usopen-1202,2019,US Open,1202,Denis Kudla,Dusan Lajovic,,,,,,,,,,,,,,
66,2019-usopen-1203,2019,US Open,1203,Stan Wawrinka,Jeremy Chardy,,,,,,,,,,,,,,
67,2019-usopen-1204,2019,US Open,1204,Miomir Kecmanovic,Paolo Lorenzi,,,,,,,,,,,,,,
68,2019-usopen-1205,2019,US Open,1205,Reilly Opelka,Dominik Koepfer,,,,,,,,,,,,,,
